lambda transmission
45585.505569938316 0.0
45620.76118136131 0.0
45656.016792784314 1.0
45691.27240420732 1.0
45726.52801563031 1.0
45761.783627053315 1.0
45797.03923847631 1.0
45832.294849899314 1.0
45867.55046132231 1.0
45902.80607274531 1.0
45938.06168416831 1.0
45973.31729559131 1.0
46008.572907014306 1.0
46043.82851843731 0.0
46079.084129860305 0.0
