lambda transmission
22202.907186883807 0.0
22258.001249382276 0.0
22313.09531188075 1.0
22368.18937437922 1.0
22423.28343687769 1.0
22478.37749937616 1.0
22533.471561874634 1.0
22588.565624373103 1.0
22643.659686871575 1.0
22698.753749370044 1.0
22753.847811868516 1.0
22808.94187436699 1.0
22864.035936865457 1.0
22919.12999936393 0.0
22974.2240618624 0.0
