lambda transmission
12219.262844517667 0.0
12249.583595992897 0.0
12279.904347468128 1.0
12310.225098943358 1.0
12340.545850418588 1.0
12370.866601893817 1.0
12401.187353369047 1.0
12431.508104844277 1.0
12461.828856319507 1.0
12492.149607794738 1.0
12522.470359269968 1.0
12552.791110745196 1.0
12583.111862220427 1.0
12613.432613695657 0.0
12643.753365170887 0.0
