lambda transmission
42802.463209992595 0.0
42841.623743579046 0.0
42880.7842771655 1.0
42919.94481075195 1.0
42959.1053443384 1.0
42998.26587792485 1.0
43037.42641151131 1.0
43076.58694509776 1.0
43115.747478684214 1.0
43154.908012270665 1.0
43194.06854585712 1.0
43233.22907944357 1.0
43272.38961303002 1.0
43311.55014661648 0.0
43350.71068020293 0.0
