lambda transmission
22718.801348573765 0.0
22775.175545468486 0.0
22831.54974236321 1.0
22887.923939257937 1.0
22944.298136152658 1.0
23000.672333047383 1.0
23057.04652994211 1.0
23113.42072683683 1.0
23169.794923731555 1.0
23226.16912062628 1.0
23282.543317521002 1.0
23338.917514415727 1.0
23395.291711310452 1.0
23451.665908205174 0.0
23508.0401050999 0.0
