lambda transmission
11146.607898211378 0.0
11174.266974881877 0.0
11201.926051552377 1.0
11229.585128222876 1.0
11257.244204893375 1.0
11284.903281563875 1.0
11312.562358234376 1.0
11340.221434904875 1.0
11367.880511575375 1.0
11395.539588245874 1.0
11423.198664916374 1.0
11450.857741586873 1.0
11478.516818257374 1.0
11506.175894927874 0.0
11533.834971598373 0.0
