lambda transmission
46588.247718835475 0.0
46624.27884622823 0.0
46660.30997362099 1.0
46696.34110101375 1.0
46732.37222840651 1.0
46768.403355799266 1.0
46804.434483192024 1.0
46840.46561058478 1.0
46876.49673797753 1.0
46912.52786537029 1.0
46948.55899276305 1.0
46984.59012015581 1.0
47020.621247548566 1.0
47056.652374941325 0.0
47092.68350233408 0.0
